date,income_studentfinance,income_other,income_options,income_work,groceries,alchohol,rent,tax,travel,books_education,books_other,entertainment,eatingout,clothing,nightout,pub,utilities,investing,getrichquick,lpig,sport,other,end,total,outby
25/11/2019,0,150,0,0,-58.18,-9.35,-490,0,0,0,0,0,-21.14,0,0,-5.6,0,-100,0,0,-33.75,-36.74,-131.01,1044.54,0
02/12/2019,0,20,0,0,-59.63,-18.27,0,0,0,0,0,0,-5.89,-10,0,0,0,0,0,0,0,-9.99,-93.78,960.76,0
09/12/2019,0,0,0,0,-64.06,-17.95,0,0,0,0,0,0,-11.67,0,0,-6.5,0,0,0,0,0,-3.99,-104.17,856.59,0
16/12/2019,0,50,0,680.82,-65.76,-15.75,0,0,-2,0,0,-14.51,-12.64,-10,0,-24.25,0,-250,0,0,0,-29.95,-167.05,1160.36,2.19
23/12/2019,0,45,0,0,-15.81,-26.3,0,0,0,0,0,0,0,-11.05,-42.55,-7,0,0,0,0,0,-15,-106.66,1087.65,0
30/12/2019,0,100,0,0,-52.93,-15.08,-490,0,0,0,0,0,-31.24,0,0,0,-49.41,-490,0,0,-33.75,-18.48,-120.2,4.28999999999954,2.47
06/01/2020,0,0,0,0,-78.97,0,0,0,-4.78,-8.31,0,0,0,0,0,0,0,0,0,0,0,-12.49,-104.55,-100.26,0
13/01/2020,2791.14,20,0,641.19,-68.63,-7.5,0,0,-19.75,0,0,0,0,0,0,-33.27,0,-2500,0,0,0,-3.9,-138.22,713.85,5.17
20/01/2020,0,0,0,0,-60,-6.2,0,0,0,-10.99,0,0,-6.25,0,-35.3,-20.8,0,0,0,0,0,0,-144.75,569.1,5.21
27/01/2020,0,1100,0,0,-59.13,0,-490,0,0,0,0,0,-7.5,-22.7,-5,-11.85,0,0,-457.43,0,-33.75,0,-93.92,571.3,10.44
03/02/2020,0,0,0,0,-52.07,-8.93,0,0,-10,0,0,0,-8.56,0,0,-21,0,0,0,0,0,-18.98,-129.18,442.12,9.64
10/02/2020,0,0,0,549.52,-60.71,-15.8,0,0,0,0,0,0,-8.8,0,0,-12,0,0,0,0,0,-8.98,-119.06,872.58,12.77
17/02/2020,0,1750,0,0,-54.02,-6.6,0,0,-2,0,0,0,-23.35,0,0,0,0,-1500,0,0,0,-5,-82.05,1040.53,-8.92
24/02/2020,0,100,0,0,-54.61,-13.7,-490,0,0,0,0,0,0,-58.98,-4.9,-21.65,0,0,0,0,-33.75,0,-102.86,454.94,8
02/03/2020,0,0,0,0,-71.52,-15.55,0,0,0,-9,0,0,0,0,-5.1,-22.08,0,0,-154.66,0,0,-14.99,-151.68,148.6,13.44
09/03/2020,0,50,0,575.16,-62.42,-5,0,0,0,0,0,-14.9,-14.2,0,0,-25.35,0,0,0,0,0,0,-133.76,639.999999999999,11.89
16/03/2020,0,0,0,0,-62.27,-8.5,0,0,0,0,0,0,0,0,-12,-9,0,0,0,0,0,0,-91.77,548.229999999999,0
23/03/2020,0,50,0,0,-53.05,-10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-58.44,539.79,-5.11
30/03/2020,0,100,0,0,-37.53,-15.5,-490,0,0,0,0,0,0,0,0,0,0,0,-165.86,0,-33.75,-13.98,-62.02,-111.840000000001,-4.99
06/04/2020,0,0,0,197.61,-56.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-45.43,-102.2,-16.4300000000005,0
13/04/2020,0,0,0,0,-52.07,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-20.36,-84.43,-100.860000000001,0
20/04/2020,2875.72,0,0,0,-54.24,-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.19,-79.4,2695.46,-10.03
27/04/2020,0,4960,0,0,-51.34,-8.8,-490,0,0,0,0,0,0,0,0,0,0,0,0,0,-33.75,-90.99,-151.13,6980.58,0
04/05/2020,0,0,0,0,-56.88,-13.3,0,0,0,-9.95,0,0,0,0,0,0,0,0,0,0,0,-9.99,-91.69,6888.89,1.57
11/05/2020,0,0,0,0,-61.16,-3.7,0,0,0,0,0,0,0,0,0,0,0,0,-2131.84,0,0,-3.99,-68.85,4688.2,0
18/05/2020,0,1750,-1939.91,0,-36.82,0,0,0,0,0,0,0,0,0,0,0,0,0,-1283.79,0,0,0,-36.82,5117.59,0
25/05/2020,0,50,0,0,-73.17,-13.5,-237.5,0,0,-17.71,0,0,0,0,0,0,0,0,-429.12,0,0,-21,-125.38,4375.59,0
01/06/2020,0,100,0,0,-58.5,-14.47,-980,0,0,0,0,0,0,0,0,0,0,0,0,0,-33.75,-9.99,-82.96,3378.88,0
08/06/2020,0,0,0,0,-56.95,-14.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10.25,-81.68,3297.2,0
15/06/2020,0,0,0,0,-52,-13.6,0,0,0,0,0,0,0,0,0,0,0,0,-162.29,0,0,-4.1,-73.96,3060.95,4.26
22/06/2020,0,0,0,0,-62.47,-11.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-56.99,-129.89,2931.06,-1.27
29/06/2020,0,170,0,0,-41.64,0,-980,0,0,0,0,0,0,0,0,0,0,0,0,0,-33.75,-48.97,-93.21,1994.1,2.6
06/07/2020,0,0,0,0,-65.86,-28.15,0,0,0,0,0,0,-13.45,0,0,0,0,0,0,0,0,-37.85,-145.31,1848.79,0
13/07/2020,0,880,0,0,-62.23,-17,0,0,0,0,0,0,0,0,0,0,0,0,-162.22,0,0,-7.97,-87.2,2479.37,0
20/07/2020,0,0,0,0,-60.84,-5.4,0,0,0,0,0,0,0,-13,0,0,0,0,0,0,0,-30.31,-96.55,2369.82,0
27/07/2020,0,850,0,0,-42.14,-13.6,-980,0,0,0,0,0,-22.84,0,0,0,0,0,-812.95,0,-33.75,-9.99,-88.57,1304.55,0
03/08/2020,0,2050,0,0,-49.12,-8.75,0,0,0,0,0,0,0,-20,0,0,0,0,-1002.49,0,0,0,-57.87,2274.19,0
10/08/2020,0,2000,0,0,-52.79,-2.5,0,0,0,0,0,0,-10.7,0,0,0,0,0,-1366.43,0,0,-7.99,-73.98,2833.78,0
17/08/2020,0,0,0,0,-56.07,-1.25,0,0,0,0,0,0,-13.5,0,0,0,0,0,-415.76,0,0,-15,-85.82,2332.2,0
24/08/2020,0,0,0,0,-32.32,-6.1,0,0,0,0,0,0,-62.2,0,0,0,0,0,0,0,0,-91.2,-191.82,2140.38,0
31/08/2020,0,590,0,0,-24.45,0,-980,0,0,0,0,0,0,0,0,0,0,0,0,0,-33.75,-9.99,-20.93,1695.7,-13.51
07/09/2020,0,60,0,0,-18.56,0,0,0,0,0,0,0,-223.33,0,0,0,0,0,0,0,0,-103.47,-345.36,1410.34,0
14/09/2020,0,0,0,0,-50.6,-6.6,0,0,0,0,0,0,-10,0,0,0,0,0,-154.38,0,0,-98.13,-157.95,1098.01,-7.38
21/09/2020,0,0,0,0,-58.95,-7.5,0,0,0,0,0,0,-19.97,-79,0,0,0,0,0,0,0,-17.49,-122.32,896.690000000002,18.41
28/09/2020,0,590,0,0,-30.7,-8.99,-980,0,0,0,0,0,-20,-13,0,0,0,0,0,0,-33.75,-18.97,-88.05,371.890000000002,9.39
05/10/2020,0,285,0,0,-60.32,-7.8,0,0,0,0,0,0,-11.68,0,0,0,0,0,0,0,0,0,-79.8,577.090000000002,0
12/10/2020,0,0,0,0,-52.46,0,0,0,0,0,0,0,-24.6,0,0,0,0,0,-157.39,0,0,-11.98,-119.74,299.960000000002,30.7
19/10/2020,0,25,0,0,-20.73,-24.35,0,0,-106.3,0,0,0,-66.79,0,0,0,0,0,0,0,0,-6.99,-225.16,99.8000000000016,0
26/10/2020,0,660,0,0,-33.89,-11.5,-980,0,0,0,0,0,-7.5,0,0,0,0,0,0,0,0,-24.01,-76.9,-297.099999999998,0
02/11/2020,0,0,0,1422,-59.39,0,0,0,0,0,0,0,-45.01,0,0,0,0,-568.8,0,0,-33.75,-9.99,-121.14,401.210000000002,6.75
09/11/2020,0,0,0,0,-57.91,0,0,0,0,0,0,0,-17.91,0,0,0,0,0,0,0,0,-6.86,-82.68,318.530000000002,0
16/11/2020,0,0,0,0,-34.22,-1.8,0,0,0,0,0,0,-35.9,0,0,0,-56.14,0,-150.3,0,0,-15.98,-90.52,21.5700000000015,2.62
23/11/2020,0,100,0,0,-50.73,-2.44,0,0,0,0,0,0,-21.33,0,0,0,0,0,0,0,0,0,-78.57,43.0000000000015,4.07
30/11/2020,0,590,0,2232,-44.69,-1.8,-980,0,-63.99,0,0,0,-15.9,0,0,0,0,-500,0,0,0,-39.99,-166.37,1218.63,0
07/12/2020,0,0,0,0,-27.3,0,0,0,0,0,0,0,-35.67,0,0,0,0,0,0,0,-33.75,-47.7,-110.67,1074.21,0
14/12/2020,0,0,0,0,-58.41,-8.05,0,0,0,0,0,0,-69.97,-13,0,0,0,0,-152.51,0,0,-60.58,-197.01,711.690000000001,0
21/12/2020,0,40,0,0,-31.89,-21.95,0,0,0,0,0,0,-18.96,0,0,0,0,0,0,0,0,-50.63,-149.96,601.730000000001,26.53
28/12/2020,0,630,0,0,-42.18,-4.99,-980,0,0,0,0,0,-54.56,0,0,0,0,0,0,0,-33.75,-35.51,-145.99,71.9900000000014,8.75
04/01/2021,0,0,0,2430,-41.23,0,0,0,0,0,0,0,-8.3,0,0,0,0,-1100,0,0,0,-35.99,-85.52,1316.47,0
11/01/2021,0,0,0,0,-11.73,0,-66,0,0,-60.29,0,0,-26.74,0,0,0,0,0,-144.75,0,0,-25.97,-135.7,970.020000000001,10.97
18/01/2021,0,0,0,0,-45.59,-1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-67.49,902.530000000001,20.65
25/01/2021,0,900,0,0,-51.18,-10.5,-1350,0,0,0,0,0,-7.6,0,0,0,0,0,0,0,0,0,-69.28,383.250000000001,0
01/02/2021,0,450,0,2616,-70.4,-14.35,-700,-435.92,0,0,0,0,-25.66,0,0,0,0,-1300,0,0,-33.75,-43.22,-149.38,830.200000000001,-4.25
08/02/2021,0,414,0,0,-41.48,-18,-621.37,0,0,0,0,0,-37,0,0,0,-73,0,-146.96,0,0,-23.01,-119.49,283.380000000001,0
15/02/2021,0,0,0,0,-61.44,-9.37,0,0,-15,0,0,0,-3.7,0,0,0,0,0,0,0,0,0,-89.51,193.870000000001,0
22/02/2021,0,0,0,0,-68.22,0,0,0,-5,0,0,0,-9.63,0,0,0,0,0,0,-14.56,0,-64.9,-147.93,31.3800000000013,0.18
01/03/2021,0,100,0,2040,-31.06,-11.58,-442.5,0,0,0,0,0,-9,0,0,0,0,0,0,-50,-33.75,-33.93,-88.15,1556.98,2.58
08/03/2021,0,0,0,0,-35.49,-19.7,0,-323.63,0,0,0,0,-10,0,0,0,0,0,-146.04,0,0,-54.97,-120.16,967.150000000001,0
15/03/2021,0,1050,0,0,-24.6,-6.15,0,-218.77,-620.25,0,0,0,-2.6,0,0,0,0,0,0,0,0,-53.97,-87.32,1090.81,0
22/03/2021,0,0,0,0,-42.96,-14.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-57.86,1032.95,0
29/03/2021,0,100,0,0,-26.69,-14,-442.5,0,0,0,0,0,-45.9,0,0,0,0,0,0,-125,-33.75,-9.99,-167.89,363.810000000001,71.31
05/04/2021,0,0,0,2352,-41.46,-8.5,0,-144.98,0,0,0,0,-22.8,0,0,0,-23,0,0,0,0,-73.47,-158.19,2389.64,11.96
12/04/2021,0,0,0,0,-55.16,-11,0,0,0,0,0,0,-1.5,0,0,0,0,0,-147.26,0,0,-19.97,-106.48,2135.9,18.85
19/04/2021,0,433,0,0,-55.2,-2.74,0,0,0,0,0,0,-34.4,0,0,0,-18,0,0,0,0,-6.95,-99.29,2451.61,0
26/04/2021,0,0,0,0,-59.38,-46.65,-442.5,0,0,0,0,0,-4,0,0,0,0,0,0,0,-33.75,-1300.96,-1410.99,564.370000000002,0
03/05/2021,0,100,0,0,-69.69,-7.75,0,-145,-5.4,0,0,0,-23.4,0,0,0,0,0,0,-125,0,-16.98,-123.22,271.150000000001,0
10/05/2021,0,0,0,2448,-59.96,-19.5,0,0,-4.27,0,0,-15,-69.8,-20,0,0,0,-1750,-144.23,0,0,-25.97,-194.5,610.420000000001,0
17/05/2021,0,0,0,0,-54.42,-15.2,0,0,-13.7,0,0,0,-77.65,0,0,-23.83,0,0,0,0,0,-5.99,-207.04,403.380000000001,16.25
24/05/2021,0,0,0,0,-42.47,-23.8,0,0,0,0,0,0,-4,0,0,0,0,0,0,0,-33.75,-12.39,-106.98,262.650000000001,24.32
31/05/2021,0,100,0,2280,-79,-17.5,-442.5,-49,-133,0,0,0,-47,0,0,-48.7,0,-700,0,-125,0,-9.99,-335.19,990.960000000001,0
07/06/2021,0,0,0,0,-65.62,-7.85,0,0,-16.5,0,0,-57,-73.1,-6,0,-19.4,-15,0,0,0,0,-81.97,-321.44,648.520000000002,0
14/06/2021,0,0,0,0,-44.15,-9.41,0,0,0,0,0,0,-15,0,0,0,0,0,-143.88,0,0,-214.59,-317.57,187.070000000001,34.42
21/06/2021,0,50,0,0,-65.38,0,0,0,0,0,0,0,-2.95,-67,0,-28,0,0,0,0,0,-15,-111.33,58.7400000000015,0
28/06/2021,0,100,0,2280,-51.02,-5,-442.5,0,-90.12,0,0,0,-13.75,-30.5,0,0,0,-500,0,0,0,-24.98,-200.83,1264.91,15.96
05/07/2021,0,0,0,0,-51.33,-6.6,0,-96,0,0,0,0,-24.3,0,0,0,0,0,0,0,0,-97,-194.89,974.020000000001,15.66
12/07/2021,0,0,0,0,-53.56,-2,0,0,-12.67,0,-11.62,-14.22,-17.6,-52,0,0,0,0,0,0,0,-20.98,-141.43,780.590000000001,8.78
19/07/2021,0,377,0,0,-51.74,-2,0,0,-428.38,0,0,-8.5,-110.88,0,0,-56.7,0,0,-148.26,0,0,-15,-654.62,354.710000000001,-18.58
26/07/2021,0,100,0,1986,-64.64,-18.1,-442.5,0,-80,0,0,0,-15,0,0,-5.2,0,0,0,0,-33.75,-34.99,-218.66,1745.8,0.73
02/08/2021,0,0,0,0,-59.19,-37.05,0,-96,-510,0,0,-5,-14.24,-160.5,0,0,0,-500,0,0,0,-13.97,-639.45,349.850000000001,0
09/08/2021,0,0,0,0,0,0,0,0,-130.62,0,0,0,0,0,0,0,0,0,0,0,0,-15.98,-146.6,203.250000000001,0
16/08/2021,0,120,0,0,-66.62,0,0,0,0,0,0,0,-29,0,0,0,0,0,-144.85,0,0,-24.97,-117.74,60.6600000000011,-2.85
23/08/2021,0,0,0,0,-42.4,0,0,0,0,0,0,0,0,-15,-35.75,0,0,0,0,0,0,0,-102.96,-57.2999999999989,24.81
30/08/2021,0,-20,0,1998,-44.13,0,-442.5,-96,0,0,0,0,-7.35,0,0,0,0,0,0,0,-33.75,-117.17,-151.83,1196.62,-16.82
06/09/2021,0,0,0,0,-80.76,-8.85,0,0,-7.2,0,-4.99,0,-33.03,0,0,-11.5,0,0,0,0,0,-113.74,-260.07,936.550000000001,0
13/09/2021,0,0,0,0,-51.43,-3.5,0,0,0,0,0,0,-27.34,0,0,0,0,0,0,0,0,-87.86,-199.76,736.790000000001,29.63
20/09/2021,0,0,0,0,-49.34,-7,0,0,0,0,0,0,-17.74,0,0,-5.7,0,0,-144.77,0,0,-6.85,-86.63,505.390000000001,0
27/09/2021,0,1100,0,1752.31,-60.93,-20.8,-442.5,0,-6.72,-9.62,0,0,-140,0,0,0,0,0,0,0,-33.75,-2.99,-233.26,2648.19,-7.8
04/10/2021,0,0,0,0,-46.23,0,0,0,-10,-6.99,0,-61.05,-30.65,0,0,-7.4,0,0,-1500,0,0,-9.99,-172.31,975.880000000001,0
11/10/2021,0,105,0,0,-68.29,-9.97,0,-480.84,0,0,0,0,-8.88,0,0,-14.95,0,0,0,0,0,-46.45,-145.25,454.790000000001,-3.29
18/10/2021,0,0,0,0,-50.99,-3,0,0,0,0,0,-25,-46.15,-15,-29.5,0,0,0,0,0,0,0,-146.49,293.300000000001,-8.15
25/10/2021,0,50,0,0,-47.11,-20.5,0,0,-51.1,0,0,0,-125.71,-12,0,0,0,0,-143.44,0,-33.75,0,-268.6,-114.489999999999,24.18
01/11/2021,0,100,0,1751.82,-25.85,-5.5,-442.5,-150.07,-3.6,0,0,0,-35.63,-78.15,0,-14,-55,0,-383.72,0,0,-9.99,-104.76,523.130000000001,10.19
08/11/2021,0,0,0,0,-81.22,-22.3,0,0,-9.6,0,-6.55,0,0,0,0,0,0,0,0,0,0,-15.98,-136.59,386.540000000001,0.94
15/11/2021,0,0,0,0,-81.23,-8.5,0,0,0,0,0,0,-45.69,0,0,0,0,0,0,0,0,-3.99,-139.41,247.130000000001,0
22/11/2021,0,0,0,0,-83.11,-13,0,0,0,0,0,0,0,0,0,0,0,0,-148.08,0,0,-12.56,-108.67,-9.6199999999991,0
29/11/2021,0,211,0,1822.61,-34.4,0,-442.5,-150,-102.25,0,-9.99,0,-13,0,0,-33.2,-28,-250,0,0,-33.75,-127.87,-323.88,795.860000000001,3.17
06/12/2021,0,0,0,0,-66.08,0,0,0,-173,0,0,0,-49.9,0,0,-11,0,0,0,0,0,-29.93,-344.5,451.360000000001,14.59
13/12/2021,0,0,0,0,-44.99,-18.5,0,0,0,0,0,0,-70.45,0,0,0,0,0,0,0,0,-72.08,-206.02,245.340000000001,0
20/12/2021,0,0,0,0,-30.35,-2.4,0,0,0,0,0,0,-3.7,0,0,-12.6,0,0,0,0,0,-55,-104.05,141.290000000001,0
27/12/2021,0,100,0,1776.7,-74.53,-4.5,-442.5,0,-20,0,0,0,-23.45,0,0,0,0,0,0,0,-33.75,-49.94,-172.42,1369.32,0
03/01/2022,0,30,0,0,-55.25,0,0,-149,-142.96,0,-7,0,-10,-15,0,0,0,-500,-150.34,0,0,-108.99,-304.4,280.580000000001,-19.8
10/01/2022,0,100,0,0,-32.93,0,0,0,-4.5,-16.47,0,0,-17.75,0,0,0,0,0,0,0,0,-38.24,-109.89,270.690000000001,0
17/01/2022,0,0,0,0,-58.67,0,0,0,0,0,0,0,-19.24,0,0,0,-28,0,0,0,0,-29.56,-107.47,135.220000000001,0
24/01/2022,0,0,0,0,-29.75,-11,0,0,0,0,0,-4.99,-64.65,0,-36.24,0,0,0,0,0,0,-17.99,-164.62,-29.3999999999991,0
31/01/2022,0,100,0,1976.96,-51.37,0,-442.5,-149,-9.5,0,0,-39,0,0,0,-20.8,-28,-500,-151.24,0,-33.75,-5.77,-126.44,616.630000000001,0
07/02/2022,0,0,0,0,-73.65,0,0,0,-17,0,0,0,-77.7,0,0,0,0,0,0,0,0,-27.97,-150.96,465.670000000001,-45.36
14/02/2022,0,0,0,0,-57.11,0,0,0,0,0,-8.99,0,-16.3,0,0,-6.6,-31.28,0,0,0,0,-46.97,-135.97,298.420000000001,0
21/02/2022,0,0,0,0,-28.15,0,0,0,-5,-26.63,0,0,-7.55,0,0,-5,0,0,0,0,0,0,-72.33,226.090000000001,0
28/02/2022,0,100,0,1970.79,-98.19,-16,-442.5,-149,0,0,0,-5.79,-31,0,-47,0,-28,-500,-147.96,0,-33.75,-19.99,-217.97,777.700000000001,0
07/03/2022,0,20,0,0,-66.7,-15.8,0,0,0,0,0,0,-13.75,0,0,-28.3,0,0,0,0,0,-15.98,-140.53,657.170000000001,0
14/03/2022,0,0,0,0,-67.75,-8,0,0,0,0,0,0,-5.5,0,0,-37.4,-31.28,0,0,0,0,-17.98,-136.63,489.260000000001,0
21/03/2022,0,0,0,0,-22.09,0,0,0,-19.06,0,0,0,0,0,0,-21.5,0,0,0,0,0,0,-62.65,426.610000000001,0
28/03/2022,0,100,0,1980.11,-88.67,0,-572.5,0,-407.2,0,-15.98,0,-19.05,0,0,0,0,0,0,0,0,0,-530.9,1403.32,0
04/04/2022,0,0,0,0,-70.64,-20.5,0,-100,0,0,0,0,0,0,-14.85,0,0,0,-554.96,0,-33.75,0,-105.99,608.620000000001,0
11/04/2022,0,0,0,0,-62.31,-1.65,0,0,-57.5,0,0,0,-68.9,0,0,-12.3,0,0,0,0,0,-35.97,-439.65,168.970000000001,201.02
18/04/2022,0,0,0,0,-41.14,-9.9,0,0,-8,0,0,0,-11.15,0,0,0,-31.28,0,0,0,0,-3.99,-74.18,63.510000000001,0
25/04/2022,0,0,0,1983.2,-72.82,0,-150,0,-165,0,0,0,0,0,0,-13.7,0,-250,-250,0,0,0,-251.52,1145.19,0
02/05/2022,0,100,0,0,-67.15,0,-442.5,-100,0,0,0,-7,-8.7,0,0,0,0,0,0,0,-33.75,0,-76.38,592.560000000001,-6.47
09/05/2022,0,0,0,0,-58.96,-34.75,0,0,-38,0,0,0,-110.81,0,0,0,0,0,-164.92,0,0,-35.97,-278.49,149.150000000001,0
16/05/2022,0,0,0,0,-64.64,-4,0,0,0,0,-3.49,0,0,0,0,-27.85,-31.28,0,0,0,0,-3.99,-103.97,13.9000000000012,0
23/05/2022,0,0,0,0,-74.35,0,0,0,-13.8,-6.99,0,0,-41.35,0,0,0,0,0,0,0,0,-11,-147.49,-133.589999999999,0
30/05/2022,0,100,0,1997.54,-48.89,-17.48,-592.5,-100,-103.6,0,0,0,0,0,0,0,0,0,0,0,-33.75,-119.94,-348.27,889.430000000001,58.36
06/06/2022,0,0,0,0,-52.24,-7.1,0,0,0,0,0,0,-97.77,0,0,0,0,-250,0,0,0,-74.98,-232.09,407.340000000001,0
13/06/2022,0,0,0,0,-70.42,-16.25,0,0,0,0,0,0,-6.5,0,0,0,-34.23,0,-164.6,0,0,-29.99,-123.16,85.3500000000011,0
20/06/2022,0,0,0,0,-46.2,0,0,0,0,0,0,-15.4,-8.6,0,0,0,0,0,0,0,0,-3.99,-74.19,11.160000000001,0
27/06/2022,0,100,0,4396.38,-95.18,-21.19,-592.5,-100,0,0,0,0,-8.2,-85,0,0,0,-2000,0,0,-33.75,-318,-458.55,1237.74,15.98
04/07/2022,0,0,0,0,-25.44,-25,0,0,-152.7,0,0,0,-20.85,-25,0,0,0,0,0,0,0,-15.14,-239.13,973.610000000001,0
11/07/2022,0,0,0,0,-33.27,-9.75,0,0,-42.2,0,-4.98,0,0,0,0,0,0,0,0,0,0,-7.99,-98.19,875.420000000001,0
